,Environmental Variable,Delta Inertia,F-statistic,p-value,Significance,RDA1 Coefficient,RDA2 Coefficient
4,MPS (Phi),0.5651395426758503,1.954996014998499,0.032,*,0.46048224754887357,0.8038890491147201
0,Measured Depth (m),0.35900277742671927,1.2419038949557137,0.249,ns,0.4113769972096035,-0.3582189858115573
5,LOI (%),0.30895219636203963,1.0687631409633294,0.357,ns,-0.6193824780900955,0.1016030221099076
1,Velocity  at bottom (m/sec)_Imputed,0.2820333903275898,0.9756424963227329,0.427,ns,-0.17237942621795269,-0.18697702629847993
2,Water DO Bottom (mg/L),0.2190416193644551,0.7577340827165354,0.687,ns,0.35602667507167157,-0.5073864518401274
3,Temperature (oC),0.2082327137917277,0.7203426674545219,0.738,ns,-0.4652188173509023,0.5027267329618662
