,Axis,Eigenvalue,Explained (%),Cumulative (%),F-statistic,p-value,Significance
0,RDA1,0.021243147299702198,38.94440718155573,38.94440718155573,2.9394700020674103,0.135,ns
1,RDA2,0.014829193210817078,27.18590284331918,66.13031002487492,2.051954354177527,0.645,ns
2,RDA3,0.007163093911575461,13.131879284950788,79.2621893098257,0.9911760897766286,1.0,ns
3,RDA4,0.005253273026993101,9.6306635223478,88.8928528321735,0.7269091654668588,1.0,ns
4,RDA5,0.004344218967067539,7.964122733437312,96.85697556561081,0.6011209711983835,1.0,ns
5,RDA6,0.0017144369592025593,3.143024434389189,100.0,0.23723113816012753,1.0,ns
