,Cluster,PC,Variance_Explained_Pct,R_squared,Adj_R_squared,Coefficient,Std_Error,T_statistic,P_value,N_sites
0,0,PC1,25.16982498213305,0.08358895469000105,0.07137014075253434,-0.037013634675265104,0.014151478400586717,-2.615531298392861,0.010765693843341237,77
1,0,PC2,13.086680248025,0.07869765390002237,0.06641362261868933,-0.025896604703495224,0.010231337046163035,-2.53110659795994,0.013465052724777467,77
2,0,PC3,10.395776808011833,0.048135148350407025,0.03544361699507914,-0.01805123083568361,0.009268995602971335,-1.9474851007478071,0.05521986570019339,77
3,0,PC4,7.899620443945126,0.00923581965681097,-0.003974369414431633,-0.006892678530067938,0.008243370476084675,-0.8361480962265,0.40572769662638775,77
4,0,PC5,6.661260203916883,0.00332511745936632,-0.009963880974508621,0.0037977719638509705,0.007592267714666573,0.5002157598466291,0.6183877688433584,77
5,0,PC6,6.087676560413602,0.0029351208010243357,-0.010359077588295351,0.0034110333409366317,0.0072594555773631934,0.4698745387426973,0.6398080256585104,77
6,0,PC7,6.028886874099653,0.0007704837841044914,-0.012552576432107498,-0.001739191915724281,0.007232155442992937,-0.24048043898300647,0.8106139551016696,77
7,1,PC1,24.25922098903067,0.27047875948579425,0.24129790986522603,0.07219996816729626,0.023714795797046943,3.0445114849475905,0.005424375963831304,27
8,1,PC2,18.68263683621058,0.004169046941147236,-0.035664191181206784,0.007866281361474308,0.024314978502275444,0.32351586742049415,0.7489953591477742,27
9,1,PC3,12.28700100451041,0.023106853521926447,-0.01596887233719646,-0.01501845820579621,0.019530280090796336,-0.768983247345934,0.44910765565734656,27
10,1,PC4,9.163347494346894,0.01780269490317058,-0.02148519730070264,0.011384185151488615,0.01691174574288239,0.673152572452779,0.5070258477512865,27
11,1,PC5,7.4700532947390546,0.008232933296531398,-0.03143774937160737,0.006989902956168434,0.015343650055490333,0.45555672417511084,0.6526409433337768,27
