,Cluster,Pollution_PC,Species_PC,R_squared,P_value,Slope,Intercept,Std_Error,N_sites,Species_PC_Variance
0,0,PC2,PC2,0.12825636527989986,0.0013840880080069982,-0.06451854948168605,0.0017598875141700894,0.019422668224720205,77,13.086680248025
1,0,PC1,PC1,0.09639083787283746,0.005995031241607401,-0.0850412490468546,0.010018804518495784,0.03006570789905479,77,25.16982498213305
2,0,PC6,PC3,0.07735815271341441,0.014316347693028239,-0.04699249384525037,0.005077046904844531,0.018739646344280173,77,10.395776808011833
3,0,PC3,PC3,0.06902055600207238,0.020980274529435978,-0.041268101045145354,0.0016698093384478372,0.017501072855858824,77,10.395776808011833
4,0,PC5,PC2,0.06821445420590803,0.02177162027326917,-0.048235663348766576,-0.0009265840990722606,0.020585309643760017,77,13.086680248025
5,0,PC3,PC4,0.06621962968985808,0.023862414055232296,-0.035236541183356083,0.0014257575229401607,0.01527888408059293,77,7.899620443945126
6,0,PC1,PC4,0.038608682452835025,0.08676054098025976,0.03015207869522831,-0.003552250062876566,0.017373776622107727,77,7.899620443945126
7,0,PC1,PC6,0.03792581496643563,0.08965405930343345,0.026234023351609723,-0.003090659587427047,0.01525706824816829,77,6.087676560413602
8,0,PC3,PC1,0.029179395081415118,0.13744816047052977,-0.04175178284769042,0.0016893802993176326,0.027808383488325213,77,25.16982498213305
9,0,PC1,PC7,0.028027072612584036,0.14558440500334055,-0.022442906054308185,0.0026440238249698113,0.01526112939955366,77,6.028886874099653
10,0,PC4,PC2,0.024401638087697918,0.1748880669904475,-0.029091239845749895,-0.0027714018216751877,0.02124015294415451,77,13.086680248025
11,0,PC6,PC4,0.020799780881542666,0.21079179770018666,-0.02124122048962607,0.0022948914585616863,0.01682887971987762,77,7.899620443945126
12,0,PC5,PC4,0.019975278228639436,0.2201684168304078,-0.020279854585336276,-0.00038956633921257404,0.016402358577706975,77,7.899620443945126
13,0,PC5,PC3,0.01861463462957206,0.23673926689828723,-0.022457997907624108,-0.0004314074341165777,0.018829246280802337,77,10.395776808011833
14,0,PC6,PC5,0.017034926012023846,0.257884720501788,-0.01765205612671625,0.0019071198310396363,0.01548330203391375,77,6.661260203916883
15,0,PC4,PC7,0.01591569679715823,0.2742642576649802,-0.01594664735875317,-0.0015191709866611027,0.014479117167641263,77,6.028886874099653
16,0,PC5,PC5,0.015347924030112495,0.28306367447602737,0.016323689495766208,0.0003135702937390207,0.015097473413201293,77,6.661260203916883
17,0,PC4,PC4,0.014889340937203102,0.2904290501754976,0.0176554521554961,0.0016819617357557014,0.016582613726937177,77,7.899620443945126
18,0,PC2,PC1,0.014033960109073682,0.3048245427468301,-0.029597879789981258,0.0008073482666109617,0.02864645130946406,77,25.16982498213305
19,0,PC4,PC6,0.01385886703943601,0.3078823070144885,-0.014952976256684259,-0.0014245080600542256,0.014564738277442976,77,6.087676560413602
20,0,PC6,PC6,0.011051057100154745,0.36287741871215795,-0.013591727886491264,0.00146844388009796,0.014846670266902652,77,6.087676560413602
21,0,PC6,PC7,0.010618134165655269,0.3725013071352552,0.013258355091179369,-0.0014324264402879269,0.01477804155132277,77,6.028886874099653
22,0,PC2,PC4,0.010539709131479214,0.3742822117719138,0.014369703615998777,-0.0003919657552638605,0.01607689039633161,77,7.899620443945126
23,0,PC1,PC2,0.010162569751766503,0.38301378895492755,0.019910775247862573,-0.0023457106669509185,0.022690167657280744,77,13.086680248025
24,0,PC4,PC3,0.008030172015909186,0.43831907273579196,-0.014874038187826979,-0.0014169879574738133,0.01908908305758189,77,10.395776808011833
25,0,PC2,PC3,0.007171929349512176,0.46399176941899767,0.013598057085604347,-0.0003709173729753206,0.01847418340513176,77,10.395776808011833
26,0,PC6,PC1,0.006683749123961108,0.47966540756657605,0.021493005139326116,-0.002322094153542199,0.030255212744315214,77,25.16982498213305
27,0,PC3,PC7,0.006592918047199831,0.4826757892302589,0.00971301794628674,-0.00039301270619359144,0.01376728638634708,77,6.028886874099653
28,0,PC2,PC6,0.006396660318284131,0.4892867568736998,-0.009827268339319484,0.0002680606893320787,0.01414269123715981,77,6.087676560413602
29,0,PC3,PC6,0.006172070452865385,0.4970375096689976,0.00944360922161277,-0.00038211176350592415,0.013837178305217789,77,6.087676560413602
30,0,PC2,PC7,0.004162753139243028,0.5772018689403904,-0.007889314718982703,0.0002151986766725612,0.014090049018069936,77,6.028886874099653
31,0,PC2,PC5,0.0035232831640883287,0.6080975811226444,0.007629259002234269,-0.00020810507626515165,0.014815336862391532,77,6.661260203916883
32,0,PC1,PC5,0.003178456717249975,0.6262518487930442,-0.007944343332449972,0.0009359319596984848,0.016245307263360115,77,6.661260203916883
33,0,PC4,PC1,0.002625476206425993,0.6580835800362168,0.013233725917187867,0.0012607222074037098,0.029783559224956097,77,25.16982498213305
34,0,PC4,PC5,0.002267273625180718,0.6809060589997118,0.006326567729143018,0.0006027058806178544,0.015324724328471769,77,6.661260203916883
35,0,PC3,PC5,0.002005113596250179,0.6989806410743066,0.005630467749862334,-0.00022782263759278226,0.014504691981590689,77,6.661260203916883
36,0,PC5,PC7,0.0010157195739190514,0.7831957079681231,0.00399503679702836,7.67427524437091e-05,0.014467136143361876,77,6.028886874099653
37,0,PC5,PC1,0.0007556144871106624,0.8124166089749513,-0.007040533046223523,-0.00013524528360801615,0.029563825487706568,77,25.16982498213305
38,0,PC1,PC3,0.0005272411437555334,0.8428738249310277,0.004042078791744039,-0.00047620181637415864,0.02032146330352188,77,10.395776808011833
39,0,PC5,PC6,0.0005216436064527643,0.8436995344242878,-0.002876921653349028,-5.5264293537252005e-05,0.014541096476048941,77,6.087676560413602
40,0,PC3,PC2,0.00044805589906464727,0.8550138430453459,-0.003730590934161156,0.00015094892718659595,0.020346212830879184,77,13.086680248025
41,0,PC6,PC2,0.00010579787048316861,0.9292538527193515,-0.0019498454228906957,0.000210660381247566,0.021888102489258793,77,13.086680248025
42,1,PC2,PC1,0.23427326993697897,0.010523215022614826,0.17694375941556592,0.0137645661231288,0.06397949091382311,27,24.25922098903067
43,1,PC4,PC1,0.19238782107901461,0.022098860901647536,0.13851044799998433,-0.03763108689108784,0.05675775008523246,27,24.25922098903067
44,1,PC1,PC1,0.16692425203877925,0.03435857685813145,0.10204733294815947,0.034285847761826485,0.04559468092104149,27,24.25922098903067
45,1,PC5,PC1,0.10687625537920224,0.0960253897953559,0.09923656691376215,-0.005436448523241174,0.05737423797683825,27,24.25922098903067
46,1,PC6,PC5,0.09501482850336714,0.11775546576517877,0.050052462557880116,0.01542180093449599,0.030894451011062685,27,7.4700532947390546
